City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
250,papao,-17.75,-149.55,26.82,87,5,8.76,PF,1690259536
251,argo,37.6333,22.7333,25.99,42,0,1.34,GR,1690258985
252,rocky mountain house,52.3668,-114.9188,19.06,88,69,2.06,CA,1690259402
253,san jorge,-31.8962,-61.8598,6.58,96,1,2.95,AR,1690259536
254,olanchito,15.5,-86.5667,24.91,95,17,0.27,HN,1690259537
255,muri,23.3667,85.8667,31.15,61,84,4.36,IN,1690258991
256,cannonvale,-20.2833,148.7,20.66,78,16,7.7,AU,1690259537
257,trujillo,-8.116,-79.03,21.98,83,100,4.12,PE,1690259537
258,kristiansund,63.1115,7.732,13.36,82,75,5.66,NO,1690259537
259,wuwei,37.9281,102.6414,35.29,14,2,5.85,CN,1690259538
260,dean funes,-30.4204,-64.3498,5.79,88,9,3.88,AR,1690259538
261,sunne,59.8376,13.143,15.23,98,100,3.15,SE,1690259538
262,castillos,-34.1667,-53.8333,9.95,92,100,4.78,UY,1690258995
263,strathalbyn,-35.2667,138.9,17.07,77,0,1.26,AU,1690259538
264,celestun,20.8667,-90.4,27.97,75,100,5.9,MX,1690259539
265,serhiyivka,46.0272,30.3768,24.72,70,57,7.19,UA,1690259539
266,terme,41.2092,36.9739,20.96,75,82,2.31,TR,1690259539
267,chui,-33.6971,-53.4616,10.81,93,100,6.05,UY,1690259020
268,kavieng,-2.5744,150.7967,26.94,82,82,1.15,PG,1690259450
269,selfoss,63.9331,-20.9971,11.14,91,100,0.65,IS,1690258964
270,vila franca do campo,37.7167,-25.4333,21.23,88,36,1.95,PT,1690259014
271,nagqu,31.5,92.0,9.68,70,100,1.83,CN,1690259540
272,oyama,36.3,139.8,38.1,25,48,2.37,JP,1690259541
273,cochrane,51.1834,-114.4687,26.58,36,65,4.82,CA,1690259541
274,talnakh,69.4865,88.3972,18.45,51,45,2.11,RU,1690258977
275,bereznik,62.8551,42.7072,14.31,89,72,1.6,RU,1690259027
276,khovd,48.0056,91.6419,22.29,31,13,2.94,MN,1690259541
277,kirakira,-10.4544,161.9205,27.81,82,45,1.71,SB,1690259542
278,zalari,53.5584,102.5065,23.79,57,83,0.53,RU,1690259542
279,noosa heads,-26.3833,153.15,18.95,63,71,8.54,AU,1690259542
280,dzuunharaa,48.8523,106.4579,23.67,54,91,1.56,MN,1690259018
281,vadso,70.0744,29.7487,9.49,93,75,7.2,NO,1690258949
282,zarnesti,45.3,26.8667,24.58,47,27,2.55,RO,1690259543
283,laguna,38.421,-121.4238,28.51,44,0,2.57,US,1690259480
284,belmonte,-15.8631,-38.8828,20.51,91,26,3.79,BR,1690259543
285,lagos,6.5833,3.75,25.18,94,100,2.04,NG,1690259340
286,mirebalais,18.8333,-72.1053,29.4,85,97,1.26,HT,1690259544
287,garachico,28.7781,-17.7646,21.06,60,100,5.14,ES,1690259544
288,kayangel,8.0823,134.7173,27.8,79,99,3.89,PW,1690259544
289,karlivka,49.4567,35.1295,21.69,46,42,4.52,UA,1690259545
290,sheikhpura,25.15,85.85,36.71,42,82,3.57,IN,1690259545
291,nova sintra,14.8667,-24.7167,22.4,84,100,6.78,CV,1690258955
292,usinsk,65.9939,57.5281,20.9,58,7,2.25,RU,1690259510
293,petropavlovsk-kamchatsky,53.0452,158.6483,26.33,41,40,2.0,RU,1690259533
294,patur,20.45,76.9333,25.72,86,100,6.15,IN,1690259546
295,bhag,29.0415,67.8239,34.87,49,91,1.31,PK,1690259546
296,kabala,9.5833,-11.55,20.87,99,100,0.75,SL,1690259546
297,wucheng,29.6008,118.175,32.25,69,99,0.93,CN,1690259546
298,kragero,58.8693,9.4149,14.14,84,99,2.6,NO,1690259547
299,axim,4.8699,-2.2405,24.48,91,100,2.46,GH,1690259001
300,cadale,2.7603,46.3222,25.69,77,34,9.33,SO,1690259547
301,georgetown,5.4112,100.3354,31.97,69,20,3.09,MY,1690259548
302,rio grande,-32.035,-52.0986,12.75,94,100,9.24,BR,1690259548
303,mili,6.0815,171.735,27.99,80,82,4.08,MH,1690259548
304,grajau,-5.8194,-46.1386,21.95,57,3,1.1,BR,1690259548
305,klyuchi,52.2667,79.1667,26.5,33,87,5.86,RU,1690259463
306,palmer,42.1584,-72.3287,20.79,79,0,2.57,US,1690259548
307,cole harbour,44.6724,-63.4751,22.66,85,100,1.54,CA,1690258986
308,vilyuysk,63.7553,121.6247,22.97,45,68,3.31,RU,1690259004
309,tebessa,35.4042,8.1242,31.6,16,0,1.54,DZ,1690259351
310,murun-kuren,49.6342,100.1625,17.91,56,97,3.1,MN,1690259550
311,dolores hidalgo cuna de la independencia nacional,21.1561,-100.9308,13.86,91,53,3.62,MX,1690259551
312,tolanaro,-25.0319,46.9987,18.04,88,20,4.12,MG,1690259023
313,tocopilla,-22.092,-70.1979,16.34,83,49,2.89,CL,1690259551
314,ta`u,-14.2336,-169.5144,25.73,72,21,6.44,AS,1690259054
315,sinop,41.7711,34.8709,19.62,56,0,0.87,TR,1690259465
316,waddan,29.1614,16.139,29.85,26,0,1.18,LY,1690259552
317,richards bay,-28.783,32.0377,13.78,77,44,1.26,ZA,1690259362
318,gurmatkal,16.8667,77.4,22.45,92,100,6.89,IN,1690259552
319,toliara,-23.35,43.6667,18.23,78,1,2.74,MG,1690259552
320,alibag,18.6411,72.8792,28.04,88,100,6.71,IN,1690259553
321,fale old settlement,-9.3852,-171.2468,28.83,73,5,8.65,TK,1690258958
322,harwich,51.9419,1.2844,12.22,86,84,0.45,GB,1690259553
323,south hedland,-20.4089,118.5983,22.96,23,0,10.29,AU,1690259553
324,bridgewater,44.3835,-64.5155,21.82,81,100,2.06,CA,1690259497
325,lashio,22.9333,97.75,26.8,82,69,0.69,MM,1690259554
326,antsiranana,-12.2787,49.2917,19.42,82,20,3.09,MG,1690259554
327,recreo,-29.2818,-65.061,10.76,64,62,4.24,AR,1690259554
328,fedorovskiy,45.0972,40.9517,22.14,67,0,2.76,RU,1690259554
329,asau,46.4333,26.4,18.51,61,35,2.2,RO,1690259555
330,bangor,54.6534,-5.669,11.73,86,48,1.54,GB,1690259555
331,hailin,44.5833,129.4167,28.38,56,30,2.08,CN,1690258985
332,loralai,30.3705,68.598,25.83,58,90,1.71,PK,1690259555
333,canutama,-6.5339,-64.3831,22.84,55,35,0.11,BR,1690259555
334,tura,25.5198,90.2201,28.61,81,87,1.42,IN,1690258976
335,arkhangel'sk,64.5401,40.5433,13.95,83,71,2.04,RU,1690258782
336,ambon,-3.6954,128.1814,27.15,68,40,4.12,ID,1690259017
337,puerto cabezas,14.0351,-83.3888,26.21,87,97,4.18,NI,1690259556
338,leua,48.2156,18.6071,22.5,67,89,3.05,SK,1690259556
339,saint-philippe,-21.3585,55.7679,21.17,83,12,2.98,RE,1690259028
340,kolonia,50.9333,6.95,15.54,88,40,0.51,DE,1690259557
341,mount isa,-20.7333,139.5,21.87,37,52,7.72,AU,1690259020
342,revda,56.801,59.9303,18.77,71,52,3.72,RU,1690259511
343,san salvador,13.6894,-89.1872,23.13,100,100,1.62,SV,1690259557
344,ilhabela,-23.7781,-45.3581,20.21,79,37,1.76,BR,1690259558
345,neiafu,-18.65,-173.9833,22.7,65,1,4.78,TO,1690259446
346,selkirk,50.1436,-96.8845,22.04,83,67,3.61,CA,1690259483
347,ialibu,-6.2821,143.9935,16.01,90,100,1.71,PG,1690259558
348,kuqa,41.7278,82.9364,34.12,18,93,2.19,CN,1690259558
349,nuku'alofa,-21.1333,-175.2,21.8,61,36,4.52,TO,1690259458
350,daru,-9.0763,143.2092,25.77,67,98,4.31,PG,1690259484
351,luau,-10.7073,22.2247,14.89,52,2,1.93,AO,1690259559
352,el granada,37.5027,-122.4694,20.59,82,100,7.72,US,1690259000
353,syktyvkar,61.6764,50.8099,14.95,93,100,2.0,RU,1690259559
354,teluk nibung,3.001,99.8164,30.69,59,100,1.33,ID,1690259559
355,harper,4.375,-7.7169,24.59,86,100,4.05,LR,1690259560
356,st. john's,47.5649,-52.7093,20.71,90,40,6.69,CA,1690259380
